giantworldmap	Normal	4108x1948	2054x974	107	0	0
giantworldmap	Compact	2054x974	1027x487	107	0	0
greatlakes	Normal	2000x1300	1000x650	34	0	0
greatlakes	Compact	1000x650	500x325	34	0	0
gulfofstlawrence	Normal	1620x1348	810x674	26	0	1
gulfofstlawrence	Compact	810x674	405x337	26	0	1
halkidiki	Normal	2200x1760	1100x880	8	0	0
halkidiki	Compact	1100x880	550x440	8	0	0
hawaii	Normal	3200x2076	1600x1038	9	0	0
hawaii	Compact	1600x1038	800x519	9	0	0
hongkong	Normal	2780x1996	1390x998	71	0	0
hongkong	Compact	1390x998	695x499	71	0	0
iceland	Normal	2000x1500	1000x750	8	0	0
iceland	Compact	1000x750	500x375	8	0	0
indiansubcontinent	Normal	2000x2220	1000x1110	52	0	0
indiansubcontinent	Compact	1000x1110	500x555	52	0	0
italia	Normal	1360x1272	680x636	12	0	0
italia	Compact	680x636	340x318	12	0	0
japan	Normal	2500x2500	1250x1250	12	0	0
japan	Compact	1250x1250	625x625	12	0	0
juandefucastrait	Normal	3000x1100	1500x550	16	44	1
juandefucastrait	Compact	1500x550	750x275	16	44	1
korea	Normal	1092x2148	546x1074	35	0	0
korea	Compact	546x1074	273x537	35	0	0
labyrinth	Normal	1360x1360	680x680	26	75	6
labyrinth	Compact	680x680	340x340	26	75	6
lemnos	Normal	1748x1420	874x710	9	0	0
lemnos	Compact	874x710	437x355	9	0	0
levant	Normal	2000x2000	1000x1000	15	47	0
levant	Compact	1000x1000	500x500	15	47	0
lisbon	Normal	1600x1600	800x800	15	0	0
lisbon	Compact	800x800	400x400	15	0	0
losangeles	Normal	1800x2276	900x1138	26	0	0
losangeles	Compact	900x1138	450x569	26	0	0
luna	Normal	1308x3508	654x1754	25	0	1
luna	Compact	654x1754	327x877	25	0	1
manicouagan	Normal	1600x1600	800x800	11	0	0
manicouagan	Compact	800x800	400x400	11	0	0
marenostrum	Normal	2848x1448	1424x724	38	0	0
marenostrum	Compact	1424x724	712x362	38	0	0
mars	Normal	2000x1000	1000x500	6	0	0
mars	Compact	1000x500	500x250	6	0	0
mena	Normal	2200x964	1100x482	35	0	0
mena	Compact	1100x482	550x241	35	0	0
middleeast	Normal	2200x2060	1100x1030	27	0	0
middleeast	Compact	1100x1030	550x515	27	0	0
milkyway	Normal	1500x1500	750x750	6	0	0
milkyway	Compact	750x750	375x375	6	0	0
mississippiriver	Normal	400x4200	200x2100	11	51	0
mississippiriver	Compact	200x2100	100x1050	11	51	0
montreal	Normal	1528x1500	764x750	12	0	0
montreal	Compact	764x750	382x375	12	0	0
newyorkcity	Normal	1500x1900	750x950	20	0	0
newyorkcity	Compact	750x950	375x475	20	0	0
niledelta	Normal	1556x1280	778x640	11	0	0
niledelta	Compact	778x640	389x320	11	0	0
northamerica	Normal	2800x1448	1400x724	71	0	0
northamerica	Compact	1400x724	700x362	71	0	0
northwestpassage	Normal	2500x1664	1250x832	21	39	0
northwestpassage	Compact	1250x832	625x416	21	39	0
oceania	Normal	2000x1000	1000x500	22	0	0
oceania	Compact	1000x500	500x250	22	0	0
onion	Normal	512x512	256x256	3	0	0
onion	Compact	256x256	128x128	3	0	0
pangaea	Normal	1000x1000	500x500	29	0	0
pangaea	Compact	500x500	250x250	29	0	0
passage	Normal	6000x400	3000x200	16	0	0
passage	Compact	3000x200	1500x100	16	0	0
pluto	Normal	2100x1300	1050x650	16	0	1
pluto	Compact	1050x650	525x325	16	0	1
sanfrancisco	Normal	2000x1700	1000x850	21	0	0
sanfrancisco	Compact	1000x850	500x425	21	0	0
sierpinski	Normal	1400x1400	700x700	9	0	0
sierpinski	Compact	700x700	350x350	9	0	0
southamerica	Normal	1744x2376	872x1188	25	0	0
southamerica	Compact	872x1188	436x594	25	0	0
southeastasia	Normal	2812x1672	1406x836	31	31	0
southeastasia	Compact	1406x836	703x418	31	31	0
straitofgibraltar	Normal	2900x1476	1450x738	7	0	1
straitofgibraltar	Compact	1450x738	725x369	7	0	1
straitofhormuz	Normal	1800x1200	900x600	21	0	1
straitofhormuz	Compact	900x600	450x300	21	0	1
straitofmalacca	Normal	1832x1644	916x822	13	0	0
straitofmalacca	Compact	916x822	458x411	13	0	0
surrounded	Normal	1976x1976	988x988	8	0	2
surrounded	Compact	988x988	494x494	8	0	2
svalmel	Normal	1700x1580	850x790	5	0	0
svalmel	Compact	850x790	425x395	5	0	0
taiwanstrait	Normal	1600x1600	800x800	25	0	1
taiwanstrait	Compact	800x800	400x400	25	0	1
thebox	Normal	2048x2048	1024x1024	13	0	0
thebox	Compact	1024x1024	512x512	13	0	0
tierradelfuego	Normal	2504x1664	1252x832	20	0	0
tierradelfuego	Compact	1252x832	626x416	20	0	0
titan	Normal	1232x2160	616x1080	28	0	0
titan	Compact	616x1080	308x540	28	0	0
tourney1	Normal	1500x1500	750x750	2	0	0
tourney1	Compact	750x750	375x375	2	0	0
tourney2	Normal	1500x1500	750x750	3	0	0
tourney2	Compact	750x750	375x375	3	0	0
tourney3	Normal	1500x1500	750x750	4	0	0
tourney3	Compact	750x750	375x375	4	0	0
tourney4	Normal	1500x1500	750x750	8	0	0
tourney4	Compact	750x750	375x375	8	0	0
tradersdream	Normal	2200x1920	1100x960	13	0	1
tradersdream	Compact	1100x960	550x480	13	0	1
twolakes	Normal	2100x1840	1050x920	5	0	0
twolakes	Compact	1050x920	525x460	5	0	0
unitedstates	Normal	2800x1548	1400x774	49	13	0
unitedstates	Compact	1400x774	700x387	49	13	0
venice	Normal	2000x1500	1000x750	15	0	0
venice	Compact	1000x750	500x375	15	0	0
warshipwarship	Normal	3000x1396	1500x698	10	23	1
warshipwarship	Compact	1500x698	750x349	10	23	1
world	Normal	2000x1000	1000x500	72	0	0
world	Compact	1000x500	500x250	72	0	0
worldinverted	Normal	2500x1248	1250x624	94	213	0
worldinverted	Compact	1250x624	625x312	94	213	0
yellowsea	Normal	1500x1152	750x576	8	0	0
yellowsea	Compact	750x576	375x288	8	0	0
yenisei	Normal	1200x1500	600x750	6	0	0
yenisei	Compact	600x750	300x375	6	0	0
